8,Indianapolis Colts,16,451,6049,1032,5.9,15,4,364,371,552,4053,24,11,7.1,201,459,1996,20,4.3,129,94,899,34,44.4,8.8,168.41\,16.0,20.0,24.0,,1.0,,4.0,1.0,50.0,3.0,5.0,,43.0,45.0,32.0,37.0,3.0,451.0,28.2\,16.0,371.0,552.0,67.2,4053.0,24.0,4.3,11.0,2.0,55.0,7.6,7.6,11.3,253.3,95.9,21.0,133.0,7.1,7.0,3.7,2.0,3.0,166.22\,16.0,459.0,1996.0,20.0,62.0,4.3,124.8,8.0,12.49\,16,,,10,10,13,12,11,9,3,1,37,32,53,86.5%,45,43,95.6%,97,6070,46,47.4%,62.6,49,2216,60,1,45.2\,16,31,312,0,26,10.1,43,1111,1,101,25.8,7910\,16,197,78,39.6%,26,16,61.5%,60,35,58.3%\,16,171,1069,44.4,8.8,6.3,35.4,Own 30.2,2:55,2.36\,16,362,5314,992,5.4,25,10,329,369,562,3866,24,15,6.4,203,390,1448,16,3.7,94,86,755,32,35.1,14.3,-75.62\,16.0,562.0,369.0,3866.0,24.0,8.0,2546.0,1766.0,108.0,17.1%,71.0,11.2%,34.0,6.0%,40.0,145.0,22.9%,70\,16.0,16.0,24.0,,1.0,1.0,1.0,,43.0,2.0,2.0,41.0,41.0,19.0,23.0,1.0,362.0,22.6\,16.0,369.0,562.0,65.7,3866.0,24.0,4.3,15.0,78.0,2.7,7.3,7.0,11.2,241.6,90.5,40.0,261.0,81.0,71.0,6.4,6.1,6.6,-90.05\,16.0,390.0,1448.0,16.0,3.7,90.5,13.82\,16,23,19,82.6%,41,41,100.0%,64,2832,1,44.3\,16,23,177,0,7.7,51,1087,1,21.3\,16,203,86,42.4%,14,6,42.9%,52,32,61.5%\,16,168,1015,35.1,14.3,6.0,31.6,Own 25.8,2:46,2.01\
9,Las Vegas Raiders,16,434,6133,1036,5.9,26,16,359,369,551,4217,28,10,7.3,206,457,1916,20,4.2,121,98,856,32,47.9,14.8,147.62\,16.0,20.0,28.0,,,,,,48.0,1.0,1.0,,45.0,47.0,33.0,35.0,,434.0,27.1\,16.0,369.0,551.0,67.0,4217.0,28.0,5.1,10.0,1.8,85.0,8.0,8.2,11.9,263.6,100.4,28.0,166.0,7.3,7.5,4.8,3.0,5.0,133.30\,16.0,457.0,1916.0,20.0,43.0,4.2,119.8,24.0,17.40\,16,,,18,18,8,8,5,3,4,4,35,33,54,94.3%,47,45,95.7%,95,5966,61,64.2%,62.8,44,1939,63,0,44.1\,16,23,265,0,32,11.5,22,418,0,44,19.0,7125\,16,198,91,46.0%,21,16,76.2%,59,32,54.2%\,16,169,1071,47.9,14.8,6.3,36.2,Own 29.5,2:56,2.57\,16,478,6225,1039,6.0,15,5,381,370,580,4212,28,10,7.0,223,438,2013,24,4.6,114,95,915,44,50.3,8.4,-211.22\,16.0,580.0,370.0,4212.0,28.0,7.8,2488.0,2054.0,147.0,23.5%,75.0,12.0%,48.0,8.3%,21.0,144.0,23.0%,147\,16.0,24.0,28.0,,,1.0,2.0,,55.0,4.0,6.0,44.0,48.0,32.0,39.0,,478.0,29.9\,16.0,370.0,580.0,63.8,4212.0,28.0,4.8,10.0,74.0,1.7,7.5,7.7,11.7,263.3,95.3,21.0,129.0,77.0,61.0,7.0,7.2,3.5,-181.81\,16.0,438.0,2013.0,24.0,4.6,125.8,-38.01\,16,39,32,82.1%,48,44,91.7%,48,2192,0,45.7\,16,14,133,0,9.5,32,748,0,23.4\,16,205,100,48.8%,17,14,82.4%,68,42,61.8%\,16,167,1078,50.3,8.4,6.5,37.3,Own 28.9,2:49,2.75\
10,Minnesota Vikings,16,430,6292,1023,6.2,23,10,383,349,516,4009,35,13,7.2,212,468,2283,20,4.9,139,82,650,32,39.8,12.5,157.70\,16.0,20.0,35.0,,,,,,55.0,8.0,12.0,,37.0,43.0,15.0,22.0,1.0,430.0,26.9\,16.0,349.0,516.0,67.6,4009.0,35.0,6.8,13.0,2.5,71.0,8.3,8.5,12.2,250.6,105.0,39.0,256.0,7.2,7.4,7.0,1.0,3.0,140.98\,16.0,468.0,2283.0,20.0,70.0,4.9,142.7,22.0,32.49\,16,,,6,6,4,3,7,4,5,2,22,15,53,68.2%,43,37,86.0%,85,5053,53,62.4%,59.4,56,2435,59,2,43.5\,16,16,69,0,13,4.3,33,722,0,38,21.9,7398\,16,181,74,40.9%,23,13,56.5%,59,42,71.2%\,16,176,1045,39.8,12.5,5.9,35.7,Own 26.2,2:44,2.44\,16,475,6292,1036,6.1,22,7,366,358,541,4141,30,15,7.3,208,472,2151,19,4.6,136,83,723,22,50.0,10.7,-180.29\,16.0,541.0,358.0,4141.0,30.0,9.0,2585.0,1800.0,159.0,26.9%,48.0,8.1%,39.0,7.2%,23.0,110.0,18.6%,131\,16.0,19.0,30.0,,1.0,2.0,1.0,,53.0,3.0,7.0,42.0,46.0,35.0,39.0,2.0,475.0,29.7\,16.0,358.0,541.0,66.2,4141.0,30.0,5.5,15.0,56.0,2.8,7.9,7.7,11.9,258.8,97.0,23.0,126.0,70.0,54.0,7.3,7.2,4.1,-149.87\,16.0,472.0,2151.0,19.0,4.6,134.4,-41.77\,16,39,35,89.7%,46,42,91.3%,42,1929,0,45.9\,16,33,321,0,9.7,27,670,1,24.8\,16,185,73,39.5%,24,17,70.8%,58,34,58.6%\,16,168,1070,50.0,10.7,6.4,37.2,Own 32.9,2:53,2.67\
11,Pittsburgh Steelers,16,416,5354,1043,5.1,18,7,322,428,656,4003,35,11,6.0,206,373,1351,12,3.6,81,81,691,35,37.2,8.5,78.22\,16.0,12.0,35.0,,,,3.0,,50.0,2.0,5.0,,41.0,45.0,23.0,24.0,1.0,416.0,26.0\,16.0,428.0,656.0,65.2,4003.0,35.0,5.3,11.0,1.7,84.0,6.3,6.6,9.6,250.2,93.5,14.0,126.0,6.0,6.3,2.1,4.0,4.0,138.47\,16.0,373.0,1351.0,12.0,59.0,3.6,84.4,22.0,-45.84\,16,,,6,6,7,7,10,9,1,1,24,23,59,95.8%,45,41,91.1%,88,5491,45,51.1%,62.4,77,3470,62,0,45.1\,16,37,356,0,57,9.6,29,670,0,49,23.1,6683\,16,230,97,42.2%,19,10,52.6%,52,33,63.5%\,16,188,1067,37.2,8.5,5.7,28.4,Own 30.8,2:37,2.12\,16,312,4893,996,4.9,27,9,281,298,526,3110,22,18,5.3,163,414,1783,13,4.3,94,103,980,24,29.3,13.8,33.24\,16.0,526.0,298.0,3110.0,22.0,9.5,2094.0,1376.0,244.0,40.3%,79.0,13.0%,68.0,12.9%,56.0,203.0,33.5%,112\,16.0,13.0,22.0,,,,1.0,,36.0,2.0,3.0,32.0,33.0,20.0,24.0,,312.0,19.5\,16.0,298.0,526.0,56.7,3110.0,22.0,4.2,18.0,84.0,3.4,6.6,5.9,11.7,194.4,76.7,56.0,384.0,137.0,103.0,5.3,4.7,9.6,22.83\,16.0,414.0,1783.0,13.0,4.3,111.4,3.99\,16,24,20,83.3%,33,32,97.0%,81,3701,0,45.7\,16,32,320,0,10.0,41,908,0,22.1\,16,222,83,37.4%,20,5,25.0%,45,25,55.6%\,16,188,1020,29.3,13.8,5.4,26.0,Own 28.3,2:29,1.62\
12,Arizona Cardinals,16,410,6153,1083,5.7,21,8,381,387,575,3916,27,13,6.5,211,479,2237,22,4.7,136,113,868,34,40.2,11.7,103.62\,16.0,22.0,27.0,,,,,,49.0,,3.0,,45.0,46.0,23.0,30.0,1.0,410.0,25.6\,16.0,387.0,575.0,67.3,3916.0,27.0,4.7,13.0,2.3,80.0,7.1,7.1,10.6,244.8,94.1,29.0,186.0,6.5,6.4,4.8,3.0,4.0,74.08\,16.0,479.0,2237.0,22.0,69.0,4.7,139.8,22.0,49.64\,16,,,5,5,7,6,15,10,3,2,30,23,56,76.7%,46,45,97.8%,87,5450,39,44.8%,62.6,58,2600,61,0,44.8\,16,25,136,0,24,5.4,24,525,0,54,21.9,7159\,16,202,80,39.6%,25,17,68.0%,58,38,65.5%\,16,179,1113,40.2,11.7,6.2,34.4,Own 29.1,2:36,2.30\,16,367,5631,1054,5.3,21,10,363,365,570,3623,26,11,5.9,207,436,2008,13,4.6,118,104,841,38,37.2,10.5,-82.04\,16.0,570.0,365.0,3623.0,26.0,7.7,1920.0,2057.0,256.0,39.3%,66.0,10.1%,54.0,9.5%,48.0,168.0,25.8%,111\,16.0,13.0,26.0,,,1.0,2.0,,42.0,,4.0,36.0,38.0,25.0,30.0,2.0,367.0,22.9\,16.0,365.0,570.0,64.0,3623.0,26.0,4.6,11.0,57.0,1.9,6.9,7.0,10.8,226.4,91.5,48.0,326.0,100.0,88.0,5.9,5.9,7.8,-79.44\,16.0,436.0,2008.0,13.0,4.6,125.5,-24.28\,16,30,25,83.3%,38,36,94.7%,67,2985,2,44.6\,16,22,201,0,9.1,46,895,0,19.5\,16,202,80,39.6%,21,14,66.7%,56,29,51.8%\,16,172,1084,37.2,10.5,6.3,32.7,Own 28.0,2:56,2.02\
13,Cleveland Browns,16,408,5913,1022,5.8,16,8,355,315,501,3539,27,8,6.7,195,495,2374,21,4.8,133,100,870,27,40.6,9.7,159.48\,16.0,21.0,27.0,,,,2.0,,50.0,2.0,2.0,,43.0,48.0,19.0,24.0,2.0,408.0,25.5\,16.0,315.0,501.0,62.9,3539.0,27.0,5.4,8.0,1.6,75.0,7.4,7.7,11.7,221.2,96.6,26.0,162.0,6.7,7.1,4.9,2.0,2.0,130.48\,16.0,495.0,2374.0,21.0,59.0,4.8,148.4,23.0,33.06\,16,,,5,5,6,4,12,10,1,,24,19,46,79.2%,48,43,89.6%,84,5325,45,53.6%,63.4,51,2244,59,0,44.0\,16,24,115,0,13,4.8,36,795,0,43,22.1,7160\,16,196,88,44.9%,24,8,33.3%,53,39,73.6%\,16,165,1046,40.6,9.7,6.3,35.6,Own 28.1,3:00,2.38\,16,419,5735,1035,5.5,21,10,352,371,585,3962,31,11,6.4,214,412,1773,16,4.3,116,84,690,22,43.0,12.7,-150.42\,16.0,585.0,371.0,3962.0,31.0,8.7,2465.0,1857.0,138.0,21.3%,69.0,10.6%,29.0,5.0%,38.0,136.0,21.0%,97\,16.0,16.0,31.0,,1.0,1.0,1.0,,50.0,5.0,9.0,38.0,41.0,23.0,27.0,1.0,419.0,26.2\,16.0,371.0,585.0,63.4,3962.0,31.0,5.3,11.0,74.0,1.9,7.2,7.4,11.4,247.6,94.8,38.0,262.0,75.0,57.0,6.4,6.6,6.1,-148.14\,16.0,412.0,1773.0,16.0,4.3,110.8,-19.02\,16,27,23,85.2%,41,38,92.7%,50,2171,0,43.4\,16,25,229,0,9.2,38,998,1,26.3\,16,205,90,43.9%,27,22,81.5%,61,37,60.7%\,16,165,1062,43.0,12.7,6.4,34.6,Own 30.3,2:49,2.45\
14,Miami Dolphins,16,404,5424,1021,5.3,20,7,345,370,559,3736,24,13,6.3,207,428,1688,15,3.9,100,74,635,38,41.4,11.0,61.96\,16.0,15.0,24.0,1.0,,2.0,,,42.0,4.0,6.0,,36.0,36.0,36.0,39.0,,404.0,25.3\,16.0,370.0,559.0,66.2,3736.0,24.0,4.3,13.0,2.3,70.0,7.0,6.9,10.6,233.5,91.2,34.0,201.0,6.3,6.1,5.7,3.0,3.0,89.14\,16.0,428.0,1688.0,15.0,31.0,3.9,105.5,17.0,-19.99\,16,1,1,8,8,7,7,14,12,9,8,39,36,56,92.3%,36,36,100.0%,92,5589,64,69.6%,60.8,68,3040,63,0,44.7\,16,32,354,1,88,11.1,12,215,0,45,17.9,6487\,16,202,78,38.6%,10,8,80.0%,60,35,58.3%\,16,181,1060,41.4,11.0,5.9,30.0,Own 29.7,2:46,2.10\,16,338,5886,998,5.9,29,11,336,343,545,4024,21,18,6.9,193,412,1862,17,4.5,113,85,805,30,30.7,15.6,-36.43\,16.0,545.0,343.0,4024.0,21.0,9.2,2365.0,2036.0,247.0,40.6%,56.0,9.2%,46.0,8.4%,41.0,143.0,23.5%,107\,16.0,17.0,21.0,2.0,,,1.0,,41.0,,0.0,39.0,41.0,17.0,23.0,1.0,338.0,21.1\,16.0,343.0,545.0,62.9,4024.0,21.0,3.9,18.0,76.0,3.3,8.0,7.3,12.7,251.5,87.0,41.0,349.0,99.0,69.0,6.9,6.2,7.0,-11.04\,16.0,412.0,1862.0,17.0,4.5,116.4,-26.37\,16,23,17,73.9%,41,39,95.1%,66,3036,1,46.0\,16,24,297,2,12.4,24,376,0,15.7\,16,186,58,31.2%,26,12,46.2%,47,27,57.4%\,16,179,1021,30.7,15.6,5.7,32.8,Own 26.4,2:34,1.77\
15,Atlanta Falcons,16,396,5895,1078,5.5,18,7,366,408,628,4363,27,11,6.5,243,409,1532,13,3.7,86,83,736,37,44.8,10.3,129.77\,16.0,13.0,27.0,,,,1.0,,41.0,1.0,3.0,,34.0,38.0,38.0,40.0,,396.0,24.8\,16.0,408.0,628.0,65.0,4363.0,27.0,4.3,11.0,1.8,63.0,7.4,7.4,11.3,272.7,93.9,41.0,257.0,6.5,6.6,6.1,,,155.83\,16.0,409.0,1532.0,13.0,62.0,3.7,95.8,16.0,-17.02\,16,,,11,11,12,11,9,8,8,8,40,38,54,95.0%,38,34,89.5%,92,5802,46,50.0%,63.1,56,2381,57,0,42.5\,16,17,152,0,24,8.9,20,409,0,29,20.5,6918\,16,221,97,43.9%,26,15,57.7%,58,31,53.4%\,16,174,1118,44.8,10.3,6.4,33.8,Own 28.1,2:49,2.26\,16,414,6374,1034,6.2,21,9,367,425,625,4697,34,12,7.2,239,380,1677,15,4.4,97,91,800,31,42.0,12.1,-148.58\,16.0,625.0,425.0,4697.0,34.0,8.5,2757.0,2248.0,224.0,32.8%,70.0,10.2%,60.0,9.6%,29.0,159.0,23.3%,100\,16.0,15.0,34.0,,,,,,49.0,2.0,4.0,44.0,45.0,24.0,28.0,,414.0,25.9\,16.0,425.0,625.0,68.0,4697.0,34.0,5.4,12.0,51.0,1.9,7.9,8.1,11.6,293.6,101.7,29.0,221.0,92.0,63.0,7.2,7.4,4.4,-177.33\,16.0,380.0,1677.0,15.0,4.4,104.8,20.45\,16,28,24,85.7%,45,44,97.8%,54,2468,0,45.7\,16,26,142,0,5.5,43,1010,0,23.5\,16,195,80,41.0%,23,10,43.5%,56,36,64.3%\,16,174,1062,42.0,12.1,6.1,36.6,Own 28.6,2:42,2.39\
16,Dallas Cowboys,16,395,5949,1113,5.3,26,13,371,413,639,4161,25,13,6.1,231,430,1788,14,4.2,115,96,849,25,40.6,14.4,58.97\,16.0,14.0,25.0,,1.0,2.0,,,42.0,4.0,6.0,,33.0,36.0,34.0,41.0,,395.0,24.7\,16.0,413.0,639.0,64.6,4161.0,25.0,3.9,13.0,2.0,69.0,7.1,6.9,10.9,260.1,89.9,44.0,350.0,6.1,6.0,6.4,3.0,4.0,48.16\,16.0,430.0,1788.0,14.0,42.0,4.2,111.8,19.0,21.70\,16,1,1,5,5,13,13,13,12,9,3,41,34,59,82.9%,36,33,91.7%,92,5705,60,65.2%,62.0,50,2250,58,0,45.0\,16,29,265,0,73,9.1,37,965,1,67,26.1,7743\,16,215,87,40.5%,31,17,54.8%,54,27,50.0%\,16,180,1154,40.6,14.4,6.4,32.9,Own 28.5,2:31,2.08\,16,473,6183,1054,5.9,23,13,359,328,513,3642,34,10,6.7,180,510,2541,20,5.0,142,91,733,37,43.1,12.2,-141.70\,16.0,513.0,328.0,3642.0,34.0,8.4,2319.0,1688.0,131.0,22.7%,58.0,10.0%,42.0,8.2%,31.0,131.0,22.7%,103\,16.0,20.0,34.0,,,1.0,2.0,,57.0,4.0,8.0,45.0,48.0,24.0,27.0,3.0,473.0,29.6\,16.0,328.0,513.0,63.9,3642.0,34.0,6.6,10.0,46.0,1.9,7.4,7.9,11.6,227.6,100.4,31.0,178.0,74.0,54.0,6.7,7.1,5.7,-105.15\,16.0,510.0,2541.0,20.0,5.0,158.8,-50.73\,16,27,24,88.9%,48,45,93.8%,54,2461,0,45.6\,16,15,132,0,8.8,29,606,0,20.9\,16,209,98,46.9%,21,10,47.6%,55,34,61.8%\,16,181,1081,43.1,12.2,6.0,34.1,Own 30.8,2:48,2.49\
17,Houston Texans,16,384,6004,940,6.4,18,11,326,383,546,4538,33,7,7.6,222,344,1466,10,4.3,83,80,619,21,42.9,9.8,140.22\,16.0,10.0,33.0,,,,1.0,,44.0,1.0,4.0,,37.0,40.0,27.0,31.0,,384.0,24.0\,16.0,383.0,546.0,70.1,4538.0,33.0,6.0,7.0,1.3,77.0,8.9,9.5,12.6,283.6,112.3,50.0,305.0,7.6,8.2,8.4,,,167.25\,16.0,344.0,1466.0,10.0,48.0,4.3,91.6,21.0,-9.85\,16,,,8,8,9,9,8,6,6,4,31,27,54,87.1%,40,37,92.5%,87,5469,52,59.8%,62.9,55,2531,67,0,46.0\,16,20,158,0,19,7.9,36,722,0,29,20.1,7195\,16,193,83,43.0%,16,9,56.3%,50,27,54.0%\,16,163,971,42.9,9.8,6.0,36.8,Own 26.7,2:41,2.34\,16,464,6668,1068,6.2,9,6,390,377,541,4104,30,3,7.1,222,493,2564,24,5.2,145,76,678,23,47.0,5.4,-242.84\,16.0,541.0,377.0,4104.0,30.0,7.7,2232.0,2282.0,212.0,35.9%,48.0,8.1%,41.0,7.6%,34.0,123.0,20.8%,125\,16.0,24.0,30.0,,,1.0,,,55.0,3.0,4.0,49.0,50.0,25.0,31.0,2.0,464.0,29.0\,16.0,377.0,541.0,69.7,4104.0,30.0,5.5,3.0,50.0,0.6,8.0,8.9,11.5,256.5,109.6,34.0,221.0,80.0,65.0,7.1,7.9,5.9,-190.89\,16.0,493.0,2564.0,24.0,5.2,160.3,-58.20\,16,31,25,80.6%,50,49,98.0%,51,2285,1,44.8\,16,19,128,0,6.7,34,705,0,20.7\,16,202,96,47.5%,21,11,52.4%,63,40,63.5%\,16,168,1099,47.0,5.4,6.5,39.7,Own 27.1,3:08,2.70\
18,Los Angeles Chargers,16,384,6113,1127,5.4,16,6,373,413,627,4329,31,10,6.5,226,466,1784,12,3.8,111,85,710,36,38.3,8.6,129.60\,16.0,12.0,31.0,,,,2.0,,45.0,2.0,5.0,,36.0,39.0,24.0,33.0,1.0,384.0,24.0\,16.0,413.0,627.0,65.9,4329.0,31.0,4.9,10.0,1.6,72.0,7.3,7.5,11.0,270.6,97.0,34.0,219.0,6.5,6.8,5.1,2.0,4.0,155.91\,16.0,466.0,1784.0,12.0,36.0,3.8,111.5,16.0,-15.56\,16,,,8,8,6,6,13,8,6,2,33,24,53,72.7%,39,36,92.3%,84,5364,49,58.3%,63.9,60,2669,63,3,44.5\,16,18,100,0,30,5.6,42,924,0,76,22.0,7606\,16,224,99,44.2%,25,12,48.0%,56,32,57.1%\,16,175,1160,38.3,8.6,6.6,34.8,Own 26.6,2:55,2.13\,16,426,5495,997,5.5,19,7,324,340,543,3578,29,12,6.3,186,427,1917,17,4.5,112,94,869,26,43.5,10.0,-89.82\,16.0,543.0,340.0,3578.0,29.0,8.9,2386.0,1601.0,98.0,16.3%,58.0,9.7%,51.0,9.4%,27.0,136.0,22.6%,109\,16.0,17.0,29.0,1.0,,,,2.0,47.0,3.0,5.0,40.0,44.0,28.0,32.0,1.0,426.0,26.6\,16.0,340.0,543.0,62.6,3578.0,29.0,5.3,12.0,54.0,2.2,6.8,6.9,10.9,223.6,91.4,27.0,137.0,84.0,55.0,6.3,6.3,4.7,-95.87\,16.0,427.0,1917.0,17.0,4.5,119.8,-3.97\,16,32,28,87.5%,44,40,90.9%,61,2893,0,47.4\,16,37,564,1,15.2,34,913,0,26.9\,16,204,89,43.6%,15,10,66.7%,55,32,58.2%\,16,170,1029,43.5,10.0,6.1,32.2,Own 32.1,2:46,2.39\
19,Detroit Lions,16,377,5603,991,5.7,21,8,350,374,582,4104,27,13,6.6,220,367,1499,17,4.1,93,95,860,37,38.5,11.2,94.78\,16.0,17.0,27.0,1.0,,,,,45.0,2.0,4.0,,38.0,41.0,21.0,28.0,1.0,377.0,23.6\,16.0,374.0,582.0,64.3,4104.0,27.0,4.6,13.0,2.2,73.0,7.6,7.5,11.8,256.5,93.3,42.0,293.0,6.6,6.5,6.7,3.0,4.0,117.49\,16.0,367.0,1499.0,17.0,54.0,4.1,93.7,13.0,-12.40\,16,,,4,4,7,7,7,4,10,6,28,21,59,75.0%,41,38,92.7%,78,4735,26,33.3%,60.7,59,2897,67,0,49.1\,16,17,217,1,74,12.8,34,845,0,71,24.9,7015\,16,192,79,41.1%,20,10,50.0%,53,35,66.0%\,16,169,1014,38.5,11.2,6.0,33.0,Own 28.3,2:38,2.20\,16,519,6716,1068,6.3,12,5,415,383,557,4558,38,7,7.8,253,487,2158,27,4.4,127,103,797,35,47.9,7.1,-283.04\,16.0,557.0,383.0,4558.0,38.0,8.8,2782.0,2175.0,142.0,23.7%,46.0,7.7%,31.0,5.6%,24.0,101.0,16.9%,128\,16.0,27.0,38.0,,,,3.0,,68.0,5.0,6.0,53.0,62.0,16.0,20.0,,519.0,32.4\,16.0,383.0,557.0,68.8,4558.0,38.0,6.8,7.0,51.0,1.3,8.5,9.3,12.4,284.9,112.4,24.0,195.0,56.0,61.0,7.8,8.6,4.1,-247.97\,16.0,487.0,2158.0,27.0,4.4,134.9,-42.32\,16,20,16,80.0%,62,53,85.5%,50,2066,3,41.3\,16,21,116,0,5.5,49,1049,0,21.4\,16,193,91,47.2%,18,11,61.1%,65,47,72.3%\,16,169,1088,47.9,7.1,6.4,39.8,Own 27.9,3:02,2.98\
